    -0.200000     0.821300      5.20600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    -0.195000     0.807900      5.21600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    -0.190000     0.794700      5.22600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    -0.185000     0.781600      5.23600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    -0.180000     0.768800      5.24600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    -0.175000     0.756100      5.25600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    -0.170000     0.743500      5.26600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    -0.165000     0.731200      5.27600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    -0.160000     0.719000      5.28600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    -0.155000     0.707000      5.29600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    -0.150000     0.695100      5.30600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    -0.145000     0.683400      5.31600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    -0.140000     0.671800      5.32600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    -0.135000     0.660400      5.33600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    -0.130000     0.649100      5.34600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    -0.125000     0.638100      5.35600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    -0.120000     0.627000      5.36600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    -0.115000     0.616400      5.37600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    -0.110000     0.605800      5.38600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    -0.105000     0.595400      5.39600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
    -0.100000     0.585000      5.40600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
   -0.0950000     0.574900      5.41600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
   -0.0900000     0.564700      5.42600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
   -0.0850000     0.554900      5.43600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
   -0.0800000     0.545100      5.44600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
   -0.0750000     0.535600      5.45600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
   -0.0700000     0.526100      5.46600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
   -0.0650000     0.516900      5.47600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
   -0.0600000     0.507600      5.48600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
   -0.0550000     0.498700      5.49600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
   -0.0500000     0.489800      5.50600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
   -0.0450000     0.480900      5.51600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
   -0.0400000     0.472200      5.52600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
   -0.0350000     0.463700      5.53600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
   -0.0300000     0.455300      5.54600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
   -0.0250000     0.447100      5.55600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
   -0.0200000     0.438900      5.56600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
   -0.0150000     0.431000      5.57600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
   -0.0100000     0.423000      5.58600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
  -0.00500000     0.415200      5.59600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000	
   0.00000     0.407500      5.60600      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000      0.00000	0.00000      0.00000      0.00000      0.00000      0.00000
