Monte Carlo Parameter Chain
Iteration, P, Q, Chi-Square
159 -1.478421 1.848603 1334.148517 
160 -1.364037 2.569330 1435.437003 
161 -1.249653 3.290057 1555.714124 
162 -1.363015 3.218549 1483.301284 
163 -1.476376 3.147042 1462.971688 
164 -1.426906 3.463878 1522.411343 
165 -1.377437 3.780714 1564.929122 
166 -0.821107 3.299330 1534.617365 
167 -1.447531 3.256669 1481.215786 
168 -2.073955 3.214008 1460.002919 
169 -2.462544 3.131697 1382.894221 
170 -2.851134 3.049386 1349.869371 
171 -2.478051 3.154471 1442.452433 
172 -2.104969 3.259557 1449.949170 
173 -2.342575 3.379115 1485.100473 
174 -2.580181 3.498672 1491.798632 
175 -2.401729 3.520748 1499.633020 
176 -2.223278 3.542824 1524.188372 
177 -2.785161 3.184815 1451.053364 
178 -3.347044 2.826806 1389.083685 
179 -3.219354 2.918353 1333.059106 
180 -3.091665 3.009900 1352.744508 
181 -2.717147 3.387245 1408.558002 
182 -2.342630 3.764589 1511.915594 
183 -2.676086 3.853777 1510.950702 
184 -3.009543 3.942964 1516.924171 
185 -2.736909 3.584460 1480.515867 
186 -2.464275 3.225955 1427.442596 
187 -2.943141 3.998403 1478.699596 
188 -3.422007 4.770851 1569.350980 
189 -3.021133 4.710216 1590.805410 
190 -2.831757 4.616484 1647.251309 
191 -2.642382 4.522752 1634.008628 
192 -2.463609 4.727832 1640.807685 
193 -2.284836 4.932911 1671.521306 
194 -2.497047 4.932911 1689.174022 
195 -2.624221 4.932911 1636.301093 
196 -2.751395 4.932911 1645.431601 
197 -2.418823 4.977501 1695.756873 
198 -2.506382 4.656384 1624.848154 
199 -2.593940 4.335267 1531.248011 
200 -3.304924 4.773029 1617.452672 
201 -3.618998 4.372031 1511.902318 
202 -3.780995 4.662597 1583.518552 
203 -3.942991 4.953162 1618.000023 
204 -3.501229 4.950693 1600.026273 
205 -3.371233 4.720473 1578.558458 
206 -2.751432 4.720473 1617.344973 
207 -2.036506 4.355744 1652.711341 
208 -1.321580 3.991016 1626.710181 
209 -0.613341 4.246340 1741.202116 
210 -0.438202 4.761551 1795.885769 
211 -0.175105 4.519958 1770.321837 
212 -0.175105 4.844424 1826.889400 
213 -0.199232 4.779903 1829.102193 
214 -0.345704 4.813451 1799.159664 
215 -0.159532 4.612711 1810.734636 
216 -0.142039 4.606659 1813.868191 
217 -0.016339 4.931054 1813.965369 
218 -0.100283 4.931054 1841.877461 
219 -0.100283 4.706011 1778.162172 
220 -0.100283 3.927285 1738.433480 
221 -0.100283 3.148559 1580.891315 
222 -0.271300 3.001743 1522.799071 
223 -0.271300 2.889401 1562.025354 
224 -0.271300 2.777059 1540.770637 
225 -0.360791 3.068760 1553.104449 
226 -0.450282 3.360460 1611.889013 
227 -0.023602 3.238443 1553.275081 
228 -0.043701 2.967128 1601.157319 
229 -0.063800 2.695812 1576.411061 
230 -0.063800 2.931651 1525.572697 
231 -0.611485 2.868172 1502.268089 
232 -1.159170 2.804694 1487.746917 
233 -1.511418 2.195209 1347.836533 
234 -1.863666 1.585725 1267.042310 
235 -1.488795 1.170279 1209.248114 
236 -1.113923 0.754833 1190.538825 
237 -0.739052 0.339386 1157.487537 
238 -0.814978 0.071641 1112.829598 
239 -0.890905 0.071641 1127.307040 
240 -0.525514 0.071641 1176.861345 
241 -0.160123 0.071641 1191.172193 
242 -0.160123 0.071641 1191.172193 
243 -0.037273 0.033676 1176.062569 
244 -0.037273 0.033676 1176.062569 
245 -0.037273 0.033676 1176.062569 
246 -0.245928 0.033676 1141.328965 
247 -0.454584 0.033676 1148.244504 
248 -0.493293 0.033676 1117.076795 
249 -0.532001 0.033676 1114.604474 
250 -0.570710 0.033676 1111.250219 
251 -0.473010 0.033676 1136.477624 
252 -0.375309 0.033676 1149.368982 
253 -0.277609 0.033676 1147.689744 
254 -0.431870 0.033676 1122.674992 
255 -0.586131 0.033676 1115.322985 
256 -1.148385 0.223510 1175.175394 
257 -1.710639 0.413343 1188.179014 
258 -2.272894 0.603177 1197.213865 
259 -2.241603 0.734542 1145.362470 
260 -2.210311 0.865906 1171.682483 
261 -2.179020 0.997270 1171.942616 
262 -2.005298 0.848838 1216.525048 
263 -1.831577 0.700405 1204.007027 
264 -1.657855 0.551973 1194.496862 
265 -1.763377 0.493089 1166.964796 
266 -1.868900 0.434204 1158.649406 
267 -1.974423 0.375320 1155.563953 
268 -1.977725 0.240023 1116.641774 
269 -1.981026 0.104727 1103.648793 
270 -1.984328 0.104727 1101.468641 
271 -1.965952 0.239951 1157.614213 
272 -1.947575 0.375175 1159.935149 
273 -1.929199 0.510399 1173.053050 
274 -1.923503 0.711561 1129.281011 
275 -1.917808 0.912722 1163.152523 
276 -1.912113 1.113884 1192.918147 
277 -2.318518 0.668406 1163.569311 
278 -2.724924 0.222928 1084.477850 
279 -2.393258 0.518411 1126.237192 
280 -2.061591 0.813894 1169.583472 
281 -1.729924 1.109377 1208.151799 
282 -1.352921 1.297298 1215.345022 
283 -0.975917 1.485218 1261.015073 
284 -0.598914 1.673139 1332.139995 
285 -0.071663 1.763190 1352.293741 
286 -0.071663 1.853241 1368.318292 
287 -0.505658 1.650103 1385.591926 
288 -0.939654 1.446965 1280.904889 
289 -0.616526 1.752774 1373.677989 
290 -0.293398 2.058584 1419.506111 
291 -0.427699 2.290518 1405.368739 
292 -0.583397 2.563097 1421.644175 
293 -0.739096 2.835677 1455.178231 
294 -0.537610 2.518256 1465.382419 
295 -0.336124 2.200835 1434.906023 
296 -0.243209 2.459246 1389.805363 
297 -0.150294 2.717656 1436.173742 
298 -0.672106 2.852631 1461.992420 
299 -1.193919 2.987607 1447.822627 
300 -1.062394 3.273851 1496.433504 
301 -1.679832 3.669766 1511.070434 
302 -2.297269 4.065680 1531.966802 
303 -2.351790 3.963914 1607.419092 
304 -2.406311 3.862147 1590.660777 
305 -1.905860 3.745138 1568.755444 
306 -1.405408 3.628128 1589.426146 
307 -1.718762 3.849259 1586.326235 
308 -1.909730 3.766086 1496.902593 
309 -2.100698 3.682913 1492.645239 
310 -2.572758 3.719148 1514.653951 
311 -3.044818 3.755382 1500.433495 
312 -3.480423 3.143804 1372.293892 
313 -3.916027 2.532226 1277.080909 
314 -4.130844 2.204831 1225.740681 
315 -4.345661 1.877436 1170.091867 
316 -4.560478 1.550040 1144.190837 
317 -5.081285 1.410556 1082.347166 
318 -5.602091 1.271072 1058.608660 
319 -6.122898 1.131587 1012.735766 
320 -6.205700 0.975003 1153.977942 
321 -6.288503 0.818418 1125.255294 
322 -6.371305 0.661833 1118.822860 
323 -6.454108 0.505249 1115.360449 
324 -6.776474 0.934004 1060.923912 
325 -7.098841 1.362759 1068.796681 
326 -7.421207 1.791514 1103.781542 
327 -7.743574 2.220269 1129.541579 
328 -7.992982 2.304994 1145.403480 
329 -8.242389 2.389718 1137.248089 
330 -8.491797 2.474443 1133.349038 
331 -8.741205 2.559168 1130.018025 
332 -8.793414 2.930937 1137.211500 
333 -8.845624 3.302706 1180.656047 
334 -8.897833 3.674475 1216.564851 
335 -8.495878 3.755880 1238.615043 
336 -8.093923 3.837285 1235.329723 
337 -7.691968 3.918691 1261.436609 
338 -7.290014 4.000096 1280.226167 
339 -7.007840 3.632014 1280.481416 
340 -6.725667 3.263932 1272.893475 
341 -6.702022 3.403656 1322.300438 
342 -6.678378 3.543379 1336.710166 
343 -6.654733 3.683102 1351.723966 
344 -6.280122 4.048586 1273.122957 
345 -5.905510 4.414071 1359.304009 
346 -5.530899 4.779556 1427.831217 
347 -5.393615 4.868068 1460.123725 
